11/10/14 17:42:55.347: ERROR(20310): Not supported Shading Language version
11/10/14 17:42:55.347: ERROR(20310): Not supported Shading Language version
11/10/14 17:42:55.347: ERROR(20310): Not supported Shading Language version
11/10/14 17:42:59.919: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.936: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.953: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.969: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.986: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.002: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.019: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.036: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.053: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.069: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.086: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.103: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.119: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.136: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.153: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.169: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.186: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.202: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.219: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.236: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.253: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.269: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.286: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.303: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.319: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.336: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.353: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.369: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.386: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:43:00.403: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:43:00.419: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:43:00.436: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:43:00.453: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:43:00.469: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:43:00.486: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:43:00.503: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:43:00.519: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
